"stock","sector","2024TotalRevenue","2024NetIncome","2024TotalAssets","2024CurrentLiabilities","2024TotalLiabilitiesNetMinorityInterest","2024TotalEquityGrossMinorityInterest","2024InvestingCashFlow","2024ShareIssued","2024WorkingCapital","2024CostOfRevenue","2023TotalRevenue","2023NetIncome","2023TotalAssets","2023CurrentLiabilities","2023TotalLiabilitiesNetMinorityInterest","2023TotalEquityGrossMinorityInterest","2023InvestingCashFlow","2023ShareIssued","2023WorkingCapital","2023CostOfRevenue","2022TotalRevenue","2022NetIncome","2022TotalAssets","2022CurrentLiabilities","2022TotalLiabilitiesNetMinorityInterest","2022TotalEquityGrossMinorityInterest","2022InvestingCashFlow","2022ShareIssued","2022WorkingCapital","2022CostOfRevenue","2021TotalRevenue","2021NetIncome","2021TotalAssets","2021CurrentLiabilities","2021TotalLiabilitiesNetMinorityInterest","2021TotalEquityGrossMinorityInterest","2021InvestingCashFlow","2021ShareIssued","2021WorkingCapital","2021CostOfRevenue"
"ARSAN","TEXTILE, WEARING APPAREL AND LEATHER",113711937,710569162,7867874640,137556328,647485386,7220389254,543805799,204449465,2167278361,102894088,529272445,742960605,7378256638,271411392,945519118,6432737520,210478523,204449465,1755498162,634466000,2047115117,270380730,4063679879,444178473,511510783,3552169096,-138995993,204449465,409396108,1528966259,498605816,271958110,1082409188,108038552,175880021,906529167,6600140,204449464,124107042,424285968
"ARTMS","TEXTILE, WEARING APPAREL AND LEATHER",1133307457,226620984,2024262203,234876874,389037641,1635224562,-46777342,7e+07,1169764680,689434621,1187956672,6389164,1628135515,714941454,827422939,800712576,854428,7e+07,337362045,958087069,313096450,72995399,660955338,377154111,388878499,272076839,-13184910,7e+07,99174803,185158395,217801813,17224036,451904728,248585666,282134819,169769909,-2079788,7e+07,64615016,158869140
"ARZUM","WHOLESALE AND RETAIL TRADE",5545592852,-399964130,3267480711,2909093289,2983256072,284224639,-113142777,299999997,-86145902,3877929958,5328200929,76491430,3190274269,2445997442,2512189037,678085232,-143562543,299999997,277508554,3660604976,2926926415,-157806264,2149606983,1689657685,1714453819,435153164,-58120249,299999997,204399249,2346120236,815345959,50130119,743950897,537392474,568316653,175634244,-19610394,299999997,129430720,552511256
"ASELS","TECHNOLOGY",120205594000,15298743000,242797511000,69761393000,101438362000,141359149000,-21347846000,4.56e+09,36357525000,82047403000,106252343000,10525898000,150577885000,50178593000,62197507000,88380378000,-16865758000,4.56e+09,22705329000,77224731000,66860171000,1281963000,144802627000,51665811000,63996624000,80806003000,-11854816000,4.56e+09,21252370000,49026909000,20138953000,7130563000,46413298000,16749927000,20578088000,25835210000,-3505944000,4.56e+09,6425215000,13490042000
"ASGYO","REAL ESTATE INVESTMENT TRUSTS",49171155,-1079755948,20056694092,22556608,5217707978,14838986114,-10595692,6.59e+08,12848724462,85886673,33114571,5705267656,21581153502,76716782,81854007,21499299495,-236216084,6.59e+08,2978637102,10398834,249527275,-263103888,10166966390,293585333,2084623573,8082342817,196948396,6.59e+08,1043449299,125427830,43271936,660145,845129126,50414823,360840028,484289098,-28730302,6.59e+08,391950025,28218279
"ASTOR","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES",26624069648,5024880084,30551925747,9640185465,9727586892,20824338855,-4185593625,9.98e+08,11476383123,17416546509,24420785951,6639007854,27076576340,9242020130,9406326879,17670249461,-3899946446,9.98e+08,9576835635,15068861719,13783507804,2040490155,11810564733,4829626863,5125537327,6685027406,-312938898,9.98e+08,3698695802,9598255983,3154302309,517681157,3184958865,1827581702,2086383526,1098575339,-185944925,9.98e+08,671315945,2270192749
"ASUZU","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES",18901715383,443446173,22137116564,9639490406,11312785203,10824331361,-1278243997,2.52e+08,1442911468,16475848055,21909106161,2330587214,27530495223,13348403204,15613289371,11917205852,-676352887,2.52e+08,2721527317,18046634223,11686265335,784307983,14676550024,7014873750,8437027816,6239522208,-982315841,2.52e+08,1356538446,10345205482,2678041855,211426746,3607247112,1565401869,2214976242,1392270870,-116965726,2.52e+08,536706290,2113442723
"ATAGY","REAL ESTATE INVESTMENT TRUSTS",28726390,40488108,639397746,2407468,77206192,562191554,-1747144,47500000,56843745,8119363,102708791,46795243,624801407,11786192,14969591,609831816,28038425,47500000,54188840,100743322,173117001,212635900,401670544,8942102,11765964,389904580,144834608,47500000,29834167,120346764,4615353,15498263,127537463,75815830,76903310,50634153,-9161135,40494100,-69183109,1773061
"ATAKP","FOOD, BEVERAGE AND TOBACCO",3254186073,182951797,5686355607,866928226,1040902652,4645452955,-637565823,138768000,1800699334,2751076711,3679054367,426920329,5905576967,1344576388,1477242795,4428334172,109842177,138768000,1904939542,2751726529,2146194192,924515514,2950890134,1123718083,1395529445,1555360689,-55777773,138768000,264932593,1561791500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATATP","TECHNOLOGY",1970214802,437055730,2159249196,442302070,495823256,1663425940,-553530918,93750000,607390338,872923878,1806656340,157149893,1815293246,510698204,535391244,1279902002,-445734190,93750000,596714753,969605726,899115616,-21963116,1078225867,251476686,276883878,801341989,-159834055,93750000,503165905,455952979,249526678,65567128,461093170,138345673,159227457,301865713,-39454790,93750000,236150191,156301427
