"stock","mainsector","subsector"
"BAHKM","MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"BAKAB","MANUFACTURING","PAPER AND PAPER PRODUCTS PRINTING"
"BALAT","MANUFACTURING","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"BALSU","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"BANVT","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"BARMA","MANUFACTURING","PAPER AND PAPER PRODUCTS PRINTING"
"BASCM","MANUFACTURING","NON-METALLIC MINERAL PRODUCTS"
"BASGZ","FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
"BAYRK","MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"BEGYO","FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
"BERA","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"BESLR","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"BEYAZ","TRANSPORTATION AND STORAGE","TRANSPORTATION AND STORAGE"
"BFREN","MANUFACTURING","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"BIENY","MANUFACTURING","NON-METALLIC MINERAL PRODUCTS"
"BIGCH","HOTELS AND RESTAURANTS","FOOD AND BEVERAGE SERVICES"
"BIGEN","ELECTRICITY GAS AND WATER","ELECTRICITY GAS AND STEAM"
"BIMAS","WHOLESALE AND RETAIL TRADE","CONSUMER TRADE"
"BINBN","TECHNOLOGY","INFORMATION TECHNOLOGY"
"BINHO","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"BIOEN","ELECTRICITY GAS AND WATER","ELECTRICITY GAS AND STEAM"
"BIZIM","WHOLESALE AND RETAIL TRADE","CONSUMER TRADE"
"BJKAS","EDUCATION HEALTH SPORTS AND ENTERTAINMENT SERVICES","SPORTS ACTIVITIES, AMUSEMENT AND RECREATION ACTIVITIES"
"BLCYT","MANUFACTURING","TEXTILE, WEARING APPAREL AND LEATHER"
"BMSCH","MANUFACTURING","BASIC METAL"
"BMSTL","MANUFACTURING","BASIC METAL"
"BNTAS","MANUFACTURING","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"BOBET","MANUFACTURING","NON-METALLIC MINERAL PRODUCTS"
"BORLS","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES","RENTAL AND LEASING ACTIVITIES"
"BORSK","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"BOSSA","MANUFACTURING","TEXTILE, WEARING APPAREL AND LEATHER"
"BRISA","MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"BRKO","MANUFACTURING","TEXTILE, WEARING APPAREL AND LEATHER"
"BRKSN","MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"BRKVY","FINANCIAL INSTITUTIONS","ASSET MANAGEMENT COMPANIES"
"BRLSM","CONSTRUCTION AND PUBLIC WORKS","CONSTRUCTION AND PUBLIC WORKS"
"BRMEN","MANUFACTURING","TEXTILE, WEARING APPAREL AND LEATHER"
"BRSAN","MANUFACTURING","BASIC METAL"
"BRYAT","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"BSOKE","MANUFACTURING","NON-METALLIC MINERAL PRODUCTS"
"BTCIM","MANUFACTURING","NON-METALLIC MINERAL PRODUCTS"
"BUCIM","MANUFACTURING","NON-METALLIC MINERAL PRODUCTS"
"BULGS","FINANCIAL INSTITUTIONS","VENTURE CAPITAL INVESTMENT TRUSTS"
"BURCE","MANUFACTURING","BASIC METAL"
"BURVA","MANUFACTURING","BASIC METAL"
"BVSAN","MANUFACTURING","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"BYDNR","HOTELS AND RESTAURANTS","FOOD AND BEVERAGE SERVICES"
"CANTE","ELECTRICITY GAS AND WATER","ELECTRICITY GAS AND STEAM"
"CASA","WHOLESALE AND RETAIL TRADE","CONSUMER TRADE"
"CATES","ELECTRICITY GAS AND WATER","ELECTRICITY GAS AND STEAM"
"CCOLA","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"CELHA","MANUFACTURING","BASIC METAL"
"CEMAS","MANUFACTURING","BASIC METAL"
"CEMTS","MANUFACTURING","BASIC METAL"
"CEMZY","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"CEOEM","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES","OFFICE ADMINISTRATIVE, OFFICE SUPPORT AND OTHER BUSINESS SUPPORT ACTIVITIES"
"CGCAM","MANUFACTURING","NON-METALLIC MINERAL PRODUCTS"
"CIMSA","MANUFACTURING","NON-METALLIC MINERAL PRODUCTS"
"CLEBI","TRANSPORTATION AND STORAGE","TRANSPORTATION AND STORAGE"
"CMBTN","MANUFACTURING","NON-METALLIC MINERAL PRODUCTS"
"CMENT","MANUFACTURING","NON-METALLIC MINERAL PRODUCTS"
"CONSE","ELECTRICITY GAS AND WATER","ELECTRICITY GAS AND STEAM"
"COSMO","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"CRDFA","FINANCIAL INSTITUTIONS","FINANCIAL LEASING AND FACTORING COMPANIES"
"CRFSA","WHOLESALE AND RETAIL TRADE","CONSUMER TRADE"
"CUSAN","MANUFACTURING","BASIC METAL"
"CVKMD","MINING AND QUARRYING","MINING OF METAL ORES"
"CWENE","ELECTRICITY GAS AND WATER","ELECTRICITY GAS AND STEAM"
"DAGHL","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"DAGI","MANUFACTURING","TEXTILE, WEARING APPAREL AND LEATHER"
"DAPGM","CONSTRUCTION AND PUBLIC WORKS","CONSTRUCTION AND PUBLIC WORKS"
"DARDL","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"DCTTR","WHOLESALE AND RETAIL TRADE","WHOLESALE TRADE"
"DENGE","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"DERHL","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"DERIM","MANUFACTURING","TEXTILE, WEARING APPAREL AND LEATHER"
"DESA","MANUFACTURING","TEXTILE, WEARING APPAREL AND LEATHER"
"DESPC","TECHNOLOGY","INFORMATION TECHNOLOGY"
"DEVA","MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"DGATE","TECHNOLOGY","INFORMATION TECHNOLOGY"
"DGGYO","FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
"DGNMO","MANUFACTURING","WOOD PRODUCTS INCLUDING FURNITURE"
"DIRIT","MANUFACTURING","TEXTILE, WEARING APPAREL AND LEATHER"
"DITAS","MANUFACTURING","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"DMRGD","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"DMSAS","MANUFACTURING","BASIC METAL"
"DNISI","MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"DOAS","WHOLESALE AND RETAIL TRADE","WHOLESALE TRADE"
"DOBUR","INFORMATION AND COMMUNICATION","PUBLISHING ACTIVITIES"
"DOCO","HOTELS AND RESTAURANTS","FOOD AND BEVERAGE SERVICES"
"DOFER","MANUFACTURING","BASIC METAL"
"DOGUB","MANUFACTURING","NON-METALLIC MINERAL PRODUCTS"
"DOHOL","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"DOKTA","MANUFACTURING","BASIC METAL"
"DSTKF","FINANCIAL INSTITUTIONS","FINANCIAL LEASING AND FACTORING COMPANIES"
"DURDO","MANUFACTURING","PAPER AND PAPER PRODUCTS PRINTING"
"DURKN","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"DYOBY","MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"DZGYO","FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
"EBEBK","WHOLESALE AND RETAIL TRADE","CONSUMER TRADE"
"ECILC","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"ECZYT","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"EDATA","TECHNOLOGY","INFORMATION TECHNOLOGY"
"EDIP","CONSTRUCTION AND PUBLIC WORKS","CONSTRUCTION AND PUBLIC WORKS"
"EFORC","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"EGEEN","MANUFACTURING","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"EGEGY","FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
"EGEPO","EDUCATION HEALTH SPORTS AND ENTERTAINMENT SERVICES","HUMAN HEALTH AND SOCIAL WORK ACTIVITIES"
"EGGUB","MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"EGPRO","MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"EGSER","MANUFACTURING","NON-METALLIC MINERAL PRODUCTS"
"EKGYO","FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
"EKIZ","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"EKOS","MANUFACTURING","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"EKSUN","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"ELITE","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"EMKEL","MANUFACTURING","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"EMNIS","MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"ENDAE","ELECTRICITY GAS AND WATER","ELECTRICITY GAS AND STEAM"
"ENERY","ELECTRICITY GAS AND WATER","ELECTRICITY GAS AND STEAM"
"ENJSA","ELECTRICITY GAS AND WATER","ELECTRICITY GAS AND STEAM"
"ENKAI","CONSTRUCTION AND PUBLIC WORKS","CONSTRUCTION AND PUBLIC WORKS"
"ENSRI","MANUFACTURING","TEXTILE, WEARING APPAREL AND LEATHER"
"ENTRA","ELECTRICITY GAS AND WATER","ELECTRICITY GAS AND STEAM"
"EPLAS","MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"ERBOS","MANUFACTURING","BASIC METAL"
"ERCB","MANUFACTURING","BASIC METAL"
"EREGL","MANUFACTURING","BASIC METAL"
"ERSU","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"ESCAR","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES","RENTAL AND LEASING ACTIVITIES"
"ESCOM","TECHNOLOGY","INFORMATION TECHNOLOGY"
"ESEN","ELECTRICITY GAS AND WATER","ELECTRICITY GAS AND STEAM"
"ETILR","HOTELS AND RESTAURANTS","FOOD AND BEVERAGE SERVICES"
"ETYAT","FINANCIAL INSTITUTIONS","INVESTMENT TRUSTS"
"EUHOL","FINANCIAL INSTITUTIONS","HOLDING AND INVESTMENT COMPANIES"
"EUKYO","FINANCIAL INSTITUTIONS","INVESTMENT TRUSTS"
"EUPWR","MANUFACTURING","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"EUREN","MANUFACTURING","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"EUYO","FINANCIAL INSTITUTIONS","INVESTMENT TRUSTS"
"EYGYO","FINANCIAL INSTITUTIONS","REAL ESTATE INVESTMENT TRUSTS"
"FADE","MANUFACTURING","FOOD, BEVERAGE AND TOBACCO"
"FENER","EDUCATION HEALTH SPORTS AND ENTERTAINMENT SERVICES","SPORTS ACTIVITIES, AMUSEMENT AND RECREATION ACTIVITIES"
"FLAP","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES","OFFICE ADMINISTRATIVE, OFFICE SUPPORT AND OTHER BUSINESS SUPPORT ACTIVITIES"
"FMIZP","MANUFACTURING","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"FONET","TECHNOLOGY","INFORMATION TECHNOLOGY"
