"stock","mainsector"
"OZYSR","MANUFACTURING"
"PNLSN","MANUFACTURING"
"PARSN","MANUFACTURING"
"PENGD","MANUFACTURING"
"PETKM","MANUFACTURING"
"PETUN","MANUFACTURING"
"PNSUT","MANUFACTURING"
"PINSU","MANUFACTURING"
"POLTK","MANUFACTURING"
"PRZMA","MANUFACTURING"
"QUAGR","MANUFACTURING"
"RNPOL","MANUFACTURING"
"RODRG","MANUFACTURING"
"ROYAL","MANUFACTURING"
"RUBNS","MANUFACTURING"
"SAFKR","MANUFACTURING"
"SNICA","MANUFACTURING"
"SANFM","MANUFACTURING"
"SAMAT","MANUFACTURING"
"SARKY","MANUFACTURING"
"SASA","MANUFACTURING"
"SAYAS","MANUFACTURING"
"SEGMN","MANUFACTURING"
"SEKUR","MANUFACTURING"
"SELGD","MANUFACTURING"
"SELVA","MANUFACTURING"
"SEYKM","MANUFACTURING"
"SILVR","MANUFACTURING"
"SODSN","MANUFACTURING"
"SOKE","MANUFACTURING"
"SKTAS","MANUFACTURING"
"SNPAM","MANUFACTURING"
"SUMAS","MANUFACTURING"
"SUNTK","MANUFACTURING"
"TARKM","MANUFACTURING"
"TATGD","MANUFACTURING"
"TMPOL","MANUFACTURING"
"TOASO","MANUFACTURING"
"TUCLK","MANUFACTURING"
"TUKAS","MANUFACTURING"
"TMSN","MANUFACTURING"
"TUPRS","MANUFACTURING"
"MARBL","MANUFACTURING"
"TRILC","MANUFACTURING"
"PRKAB","MANUFACTURING"
"TTRAK","MANUFACTURING"
"TBORG","MANUFACTURING"
"ULKER","MANUFACTURING"
"ULUSE","MANUFACTURING"
"ULUUN","MANUFACTURING"
"USAK","MANUFACTURING"
"VANGD","MANUFACTURING"
"VESBE","MANUFACTURING"
"VESTL","MANUFACTURING"
"VKING","MANUFACTURING"
"YATAS","MANUFACTURING"
"YYLGD","MANUFACTURING"
"YBTAS","MANUFACTURING"
"YIGIT","MANUFACTURING"
"YONGA","MANUFACTURING"
"YKSLN","MANUFACTURING"
"YUNSA","MANUFACTURING"
"AHGAZ","ELECTRICITY GAS AND WATER"
"AKENR","ELECTRICITY GAS AND WATER"
"AKFYE","ELECTRICITY GAS AND WATER"
"AKSEN","ELECTRICITY GAS AND WATER"
"AKSUE","ELECTRICITY GAS AND WATER"
"ALFAS","ELECTRICITY GAS AND WATER"
"AYDEM","ELECTRICITY GAS AND WATER"
"AYEN","ELECTRICITY GAS AND WATER"
"BIOEN","ELECTRICITY GAS AND WATER"
"CANTE","ELECTRICITY GAS AND WATER"
"CATES","ELECTRICITY GAS AND WATER"
"CONSE","ELECTRICITY GAS AND WATER"
