"stock","subsector"
"ACSEL","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"AKSA","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"ALKIM","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"ANGEN","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"AYGAZ","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"BAGFS","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"BAHKM","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"BAYRK","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"BRKSN","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"BRISA","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"DEVA","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"DNISI","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"DYOBY","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"EGGUB","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"EPLAS","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"EGPRO","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"EMNIS","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"EUREN","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"GEDZA","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"GOODY","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"GUBRF","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"HEKTS","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"ISKPL","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"IZFAS","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"KMPUR","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"KRPLS","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"KOPOL","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"KBORU","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"MRSHL","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
