"x"
"TreasurySharesNumber"
"PreferredSharesNumber"
"OrdinarySharesNumber"
"ShareIssued"
"NetDebt"
"TotalDebt"
"TangibleBookValue"
"InvestedCapital"
"WorkingCapital"
"NetTangibleAssets"
"CapitalLeaseObligations"
"CommonStockEquity"
"PreferredStockEquity"
"TotalCapitalization"
"TotalEquityGrossMinorityInterest"
"MinorityInterest"
"StockholdersEquity"
"OtherEquityInterest"
"GainsLossesNotAffectingRetainedEarnings"
"OtherEquityAdjustments"
"FixedAssetsRevaluationReserve"
"ForeignCurrencyTranslationAdjustments"
"MinimumPensionLiabilities"
"UnrealizedGainLoss"
"TreasuryStock"
"RetainedEarnings"
"AdditionalPaidInCapital"
"CapitalStock"
"OtherCapitalStock"
"CommonStock"
"PreferredStock"
"TotalPartnershipCapital"
"GeneralPartnershipCapital"
"LimitedPartnershipCapital"
"TotalLiabilitiesNetMinorityInterest"
"TotalNonCurrentLiabilitiesNetMinorityInterest"
"OtherNonCurrentLiabilities"
"LiabilitiesHeldforSaleNonCurrent"
"RestrictedCommonStock"
"PreferredSecuritiesOutsideStockEquity"
"DerivativeProductLiabilities"
"EmployeeBenefits"
"NonCurrentPensionAndOtherPostretirementBenefitPlans"
"NonCurrentAccruedExpenses"
"DuetoRelatedPartiesNonCurrent"
"TradeandOtherPayablesNonCurrent"
"NonCurrentDeferredLiabilities"
"NonCurrentDeferredRevenue"
"NonCurrentDeferredTaxesLiabilities"
"LongTermDebtAndCapitalLeaseObligation"
"LongTermCapitalLeaseObligation"
"LongTermDebt"
"LongTermProvisions"
"CurrentLiabilities"
"OtherCurrentLiabilities"
"CurrentDeferredLiabilities"
"CurrentDeferredRevenue"
"CurrentDeferredTaxesLiabilities"
"CurrentDebtAndCapitalLeaseObligation"
"CurrentCapitalLeaseObligation"
"CurrentDebt"
"OtherCurrentBorrowings"
"LineOfCredit"
"CommercialPaper"
"CurrentNotesPayable"
"PensionandOtherPostRetirementBenefitPlansCurrent"
"CurrentProvisions"
"PayablesAndAccruedExpenses"
"CurrentAccruedExpenses"
"InterestPayable"
"Payables"
"OtherPayable"
"DuetoRelatedPartiesCurrent"
"DividendsPayable"
"TotalTaxPayable"
"IncomeTaxPayable"
"AccountsPayable"
"TotalAssets"
"TotalNonCurrentAssets"
"OtherNonCurrentAssets"
"DefinedPensionBenefit"
"NonCurrentPrepaidAssets"
"NonCurrentDeferredAssets"
"NonCurrentDeferredTaxesAssets"
"DuefromRelatedPartiesNonCurrent"
"NonCurrentNoteReceivables"
"NonCurrentAccountsReceivable"
"FinancialAssets"
"InvestmentsAndAdvances"
"OtherInvestments"
"InvestmentinFinancialAssets"
"HeldToMaturitySecurities"
"AvailableForSaleSecurities"
"FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal"
"TradingSecurities"
"LongTermEquityInvestment"
"InvestmentsinJointVenturesatCost"
"InvestmentsInOtherVenturesUnderEquityMethod"
"InvestmentsinAssociatesatCost"
"InvestmentsinSubsidiariesatCost"
"InvestmentProperties"
"GoodwillAndOtherIntangibleAssets"
"OtherIntangibleAssets"
"Goodwill"
"NetPPE"
"AccumulatedDepreciation"
"GrossPPE"
"Leases"
"ConstructionInProgress"
"OtherProperties"
"MachineryFurnitureEquipment"
"BuildingsAndImprovements"
"LandAndImprovements"
"Properties"
"CurrentAssets"
"OtherCurrentAssets"
"HedgingAssetsCurrent"
"AssetsHeldForSaleCurrent"
"CurrentDeferredAssets"
"CurrentDeferredTaxesAssets"
"RestrictedCash"
"PrepaidAssets"
"Inventory"
"InventoriesAdjustmentsAllowances"
"OtherInventories"
"FinishedGoods"
"WorkInProcess"
"RawMaterials"
"Receivables"
"ReceivablesAdjustmentsAllowances"
"OtherReceivables"
"DuefromRelatedPartiesCurrent"
"TaxesReceivable"
"AccruedInterestReceivable"
"NotesReceivable"
"LoansReceivable"
"AccountsReceivable"
"AllowanceForDoubtfulAccountsReceivable"
"GrossAccountsReceivable"
"CashCashEquivalentsAndShortTermInvestments"
"OtherShortTermInvestments"
"CashAndCashEquivalents"
"CashEquivalents"
"CashFinancial"
"OtherLiabilities"
"LiabilitiesOfDiscontinuedOperations"
"SubordinatedLiabilities"
"AdvanceFromFederalHomeLoanBanks"
"TradingLiabilities"
"DuetoRelatedParties"
"SecuritiesLoaned"
"FederalFundsPurchasedAndSecuritiesSoldUnderAgreementToRepurchase"
"FinancialInstrumentsSoldUnderAgreementsToRepurchase"
"FederalFundsPurchased"
"TotalDeposits"
"NonInterestBearingDeposits"
"InterestBearingDepositsLiabilities"
"CustomerAccounts"
"DepositsbyBank"
"OtherAssets"
"AssetsHeldForSale"
"DeferredAssets"
"DeferredTaxAssets"
"DueFromRelatedParties"
"AllowanceForNotesReceivable"
"GrossNotesReceivable"
"NetLoan"
"UnearnedIncome"
"AllowanceForLoansAndLeaseLosses"
"GrossLoan"
"OtherLoanAssets"
"MortgageLoan"
"ConsumerLoan"
"CommercialLoan"
"LoansHeldForSale"
"DerivativeAssets"
"SecuritiesAndInvestments"
"BankOwnedLifeInsurance"
"OtherRealEstateOwned"
"ForeclosedAssets"
"CustomerAcceptances"
"FederalHomeLoanBankStock"
"SecurityBorrowed"
"CashCashEquivalentsAndFederalFundsSold"
"MoneyMarketInvestments"
"FederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell"
"SecurityAgreeToBeResell"
"FederalFundsSold"
"RestrictedCashAndInvestments"
"RestrictedInvestments"
"RestrictedCashAndCashEquivalents"
"InterestBearingDepositsAssets"
"CashAndDueFromBanks"
